objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,physical-description,type,medium,format,language,rights,parentid
lwh_402,lwh_402.jpg,"The language of flowers, poetically expressed: being a complete Flora's Album","Adams, John Stowell",1847,"This pocket-sized guidebook’s gilt cover details and edges anticipate the romanticist ethos expressed on the pages within, where author John Stowell Adams lists the “languages” spoken by different plant species. As an exemplary text of the many reference works published about plant languages on both sides of the Atlantic throughout the late eighteenth and early nineteenth century, Adams’s book reflects the popularity of botanical symbolism that only grew with the development of the Romantic poetic tradition. Illustrations of flowers, hand-painted in bold colors, affirm the expressive power that Adams attributes to plants in his inventory of botanical languages: the dandelion, for example, hints at “coquetry,” while the aspen tree reflects “lamentation,” and saffron warns that “excess is dangerous.” One owner of this copy scribbled a note-to-self on the endpaper that tulips represent a “declaration of love,” perhaps anticipating their plans to make a special confession.",botany; reference; poetry,"New York, New York",40.72785822157381,-74.00859287101619,https://catalog.libraries.psu.edu/catalog/54749,PN6110.F6A42,"gilt edges; tricesimo-secondo; illustrated, hand-painted; 4 ½ x 3 inches",,print,image/jpg,English,public domain,lwh_400
lwh_403,lwh_403.jpg,"The mental flower-garden, or, Instructive and entertaining companion for the fair-sex: containing a variety of elegant poetical pieces, pleasing and admonitory letter, cards of compliment, devotional poems, dialogues, writing pieces, English grammar in verse, and some sketches of female biography, to which is added, a short but sure guide to an accurate pronunciation (which may save some young ladies a blush in company)","Fraser, Donald",1800,"The provocative gardening metaphor in the title of this small book captures the dynamic relationship between women’s mental cultivation and botanical knowledge, an association observed also in the manuscript diary and the guidebook to flower languages. Approaching the female mind as a fertile plot of land, this heavily worn and re-bound “companion for the fair-sex” offers assorted poems, grammatical exercises, and historical lessons to be planted in that metaphorical soil of the mind. This compilation of educational material is not unlike the selection of copied passages, knitting patterns, and historical clippings in G. F. B.’s handwritten journal. Both texts are examples of “mental flower-gardens,” but in the manuscript diary, the metaphorical “flowers” are joined by organic ones.",reference; poetry; women writers; female conduct; print miscellany,"Danbury, Connecticut",41.394552370836514,-73.458661201537,https://catalog.libraries.psu.edu/catalog/1532539,BJ1681.F6,"marble board covers, rebound, sextodecimo, 6 ⅔ x 5 inches",,print,image/jpg,English,public domain,lwh_400
lwh_500,,Sharing Life: Collaborative Hands in Eighteenth-Century England,Richard Lu,2024,"The Camberwell, Surrey manuscript cookbook  exemplifies the eighteenth-century European culture of sharing while generating an individualized experience where users decide what forms of knowledge to document and how they were to be used. As a record of one’s social circles, the cookbook marked writers’ interpersonal relationships and identities. Accompanying the Camberwell, Surrey Cookbook are two manuscripts – Christian Barclay’s receipt book and J.C. Stützing’s Album Amicorum – that further detail the communal and personalized qualities of the life writing genre.",cookbook; medicine; formulae; prescriptions; album amicorum; autograph album; friendship album,"Camberwell; Surrey; Scotland, Great Britain; Saxony, Germany",,,,,,,,compound_object,,public domain,
lwh_501,lwh_501.jpg,"Cookbook compiled in Camberwell, Surrey",Anonymous,1770-1846,"Various hands developed the Camberwell, Surrey Cookbook, though their authorship remains ambiguous. The only explicit evidence of provenance comes from “Browne, 1827,” whose name is inscribed on the front pastedown. This cookbook contains recipes for British cuisine and home remedies. It compiles communal knowledge by including unpublished recipes and borrowing from published sources such as Mrs. Glasse’s Cookery (1758). One possible recipe is “To Make a Mock Turtle,” although directions and ingredients differ; perhaps the writer adapted Glasse’s recipe to fit their needs. Writers would record the recipes most valuable to their households and provide attributions when applicable. “To [h]ot Lobsters” is “Mrs Ryders receipt”; however, attributions did not indicate the originator of the recipe, only the person from whom the writer received it. Unlike its contemporary counterpart, this cookbook was written in narrative form. Recipes were brief and suggestive, used as memory aids rather than instruction manuals. They often called for “you” to customize based on available ingredients and preferences, prompting the user to apply their judgment, thus transforming another’s recipe into their own.",cookbook,"Camberwell, Surrey",51.474231999462425,-0.09222050781727989,https://catalog.libraries.psu.edu/catalog/29316511,TX705.C66 1770	,vellum covers; occasional annotation; owner's inscription; manuscript; 7 ⅞ x 6 ½ inches,receipt book,manuscript,image/jpg,English,public domain,lwh_500
lwh_502,lwh_502.jpg,"A receipt book, or, The fruits of a young woman’s spare hours","Barclay, Christian",1697-1740,"This manuscript highlights the individualized nature of recipe books as seen in the Camberwell, Surrey Cookbook. Bound in vellum and blind-tooled with the author’s initials, “CB,” Christian Barclay’s receipt book was a labor of love. Christian (active 1697-1740) included a miscellany of recipes for cooking, home remedies, and cloth dying. She wrote in an italic hand that emphasized legibility, suggesting Christian’s desire for her work to be used by others. Christian includes notations such as on page 27 where she underlines twice “for weakly” in her recipe “Ointment for weakly Children,” signaling her value for this recipe and return to its memory prompts. Much of the book shows Christian’s playful personality, though none as much as her title pages. Notice how she designs her recipe book with mesmerizing doodles and the expressive flourishes each time she writes her name, all indicative of the pleasures she experienced during her spare hours.",cookbook; medicine; formulae; prescriptions,"Scotland, Great Britain",57.0785551845007,-4.423933138408696,https://catalog.libraries.psu.edu/catalog/31201659,"02495 box01 VAULT/T/17.4 bound in Robert Barclay of Ury family papers and maps, 1685-1835 Barclay, Christian, active 1697-1740. 1685	","vellum covers; drawings in pen; manuscript; covers tooled in blind, including the author's initials, ""CB""; bevelled edges; evidence of clasps on fore-edge, largely wanting; 6 ½ x 4 3/16  inches",receipt book,manuscript,image/jpg,English,public domain,lwh_500
lwh_503,lwh_503.jpg,Album amicorum of J.C. Stützing,"Stützing, J.C.",1780-1800,"The function of album amicorums can be compared to recipe books in that both are developed based on one’s social interactions and exchanges. J.C. Stützing’s Album Amicorum (active 1780-1800) was part of a popular eighteenth-century tradition that conveyed the intimacy of friendships. Similar to recipe book attributions, friends would contribute their signatures to each other’s albums as evidence of their enduring relationship. Indicated by the 195 entries in his album, such as “Mons. Villaret” and “Past. Schrader,” Stützing was loved by many. While most album amicorums were pocket-sized or repurposed commonplace books, Stützing used an oblong book with a horizontal orientation. This format was almost exclusively used for writing music and practicing penmanship, thus elevating Stützing’s album amicorum as a unique object in the tradition of forming social networks. Stützing’s album includes portrait silhouettes embedded with trompe l’oeil that detail individual strands of hair and various fabrics, effectively giving life to the communities he engaged with.",album amicorum; autograph album; friendship album,"Saxony, Germany",51.04733625131302,13.212389917179193,https://catalog.libraries.psu.edu/catalog/30572786,Z42.4.G47S78 1780	,"vellum covers; gilt decorations on boards; front board bears gilt lettering, ""J.C.S.""; spine lettered in gilt (damaged): ""Andencken guter Freunde""; block-printed floral pastedowns; red pastepaper front free endpapers; gilt edges; copious illustrations in ink and pencil; 4 3/16 x 7 ½ inches",friendship album,manuscript,image/jpg,German; French; Latin; Hebrew,public domain,lwh_500
lwh_700,,"Maria Martin: Life Writing as Means of Remembrance, Survival and Cultural Engagement",Chaunece Reed,2024,"Captivity narratives largely believed to be fictional, such as History of the Captivity and Sufferings of Maria Martin, function as a literary form of life writing while purportedly serving to document Martin’s experiences as a white woman who is kidnapped and enslaved by Algerian pirates. They also communicate the presumed differences between Anglo-Americans and Africans that were a central aspect in the racial discourses underlying the eighteenth-century transatlantic slave trade. Material elements of Martin’s narrative, including its size, frontispiece, and rhetorical prose, despite the narrative presumably being fiction, convey how life writing functions as a testament of one’s consciousness. In Martin’s case, her narrative is just as important for its function as a depository and preserver of experience as it is, for eighteenth century readers, a portal to her and other enslaved Anglo-American women’s experiences of confinement. Through the incorporation of eighteenth-century abolitionist rhetoric, and a survey of Algerian disposition, customs and relationship to Europe, Martin’s narrative can be understood for its role in cultural communication. Martin's story, in its contextual elements and physical dimensions, coupled with historical fact, reveal that in telling one’s story – it is possible to tell someone else’s.",captivity narrative; Maria Martin; enslaved persons; slave trade; Africa; enslaved persons; religious life; antislavery movements; Algiers; non-fiction; North Africa,"Philadelphia, PA; London, England",,,,,,,,compound_object,,public domain,
lwh_701,lwh_701.jpg,History of the Captivity and Sufferings of Maria Martin,Maria Martin,1811,"The captivity narrative of Maria Martin details her experiences as a white slave, which she became after being captured by North African pirates. Martin’s text is more than an account of her experiences, but reveals what she learns about Algiers. The narrative is organized in a fashion where the description is shared first, and her personal narrative follows, both sections clearly labeled suggesting that Martin deemed her account of the “Algerines” essential context to her treatment. The novel is small, roughly 6 by 4 inches, 100 pages, suggesting that the book was meant to be carried closely and read easily in different settings. The frontispiece engraving depicts a naked Maria in her prison cell, with her wrists in chains and a baleful expression on her face. Making an emotional impact, the frontispiece fosters dialogue and promotes understanding of the inhumane political and economic practices of slavery in a broader cultural historical context. Even as a putatively fictional representation of life writing, the narrative speaks to the importance of memory preservation; specifically, the narrative prioritizes the memory of Martin and her experiences as a slave.",captivity narrative; Maria Martin; enslaved persons,"Philadelphia, PA",39.959613520967174,-75.16776842235492,https://catalog.libraries.psu.edu/catalog/4166792,DT279.M35 1811,calf binding; folio; provenance; defective backstrip; box; printed illustration; signature marks; paratext,,print,image/jpg,English,public domain,lwh_700
lwh_702,lwh_702.jpeg,"A Short Account of that Part of Africa, inhabited by the negroes",Anthony Benezet,1762,"The account that Anthony Benezet (1713-1784)  provides of Algiers focuses on its fertility, the disposition of its natives and the function of the slave trade within it. Benezet’s book, published half a century before Martin’s text, consists of information he extracted from several authors to suggest the inequities of the slave trade despite urgent attempts to validate the practice. This communal aspect of Benezet’s text suggests that eighteenth-century European and American audiences perceived African slavery with some opposition. One of the notable features of this copy of Benezet’s text is its marbled paper covered boards. Marbling, a decorative technique, added elegance and sophistication to books during the eighteenth century. Its quarter binding, a cheaper alternative to full leather binding, the cover reveals the time period's aesthetic tastes in book design. The eighteenth century saw the peak of the transatlantic slave trade, suggesting Benezet meant for his text to prompt further consideration of the institution of slavery, although the abolishment of slavery would not happen until the nineteenth century.",slave trade; Africa; enslaved persons; religious life; antislavery movements,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/14040322,HT1321.B4 1768,folio; printed illustration; marbled cover; paratext,,print,image/jpeg,English,public domain,lwh_700
lwh_703,lwh_703.jpg,Algiers: Being a Complete Picture of the Barbary States,G.A. Jackson,1817,"G.A. Jackson’s account assesses the country of Algiers in a cohesive fashion detailing the country’s government, laws, religion, and production. It also focuses on the country’s relationship to European states, specifically focusing on the various attacks European states imposed on Algiers. The foldout frontispiece features a printed illustration of a map displaying the Barbary states and their relationship to one another. This feature is essential as it puts in visual and spatial perspective the proximity of these states to one another while including the Atlantic Ocean, which separates North Africa from Europe. The account also features 9 hand-colored plates, powerful in their detail of the customs and particular style, of the North Africans. Jackson’s account sits over 350 pages but organized in clear sections, provides a clear understanding of the Barbary states essential to an understanding of the transatlantic slave trade in the eighteenth century while also providing contextual information, such as Algerian participation in piracy and European (Christian) slavery. The book is essential to further contextualizing Martin’s narrative.",Algiers; non-fiction; Africa; North Africa,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/1419266,DT49.L3,folio; printed illustration; marbled cover; paratext,,print,image/jpg,English,public domain,lwh_700
lwh_800,,"Sex, Secrets, and Scandal: Memoirs from the Salons of Eighteenth-Century Courtesans",Brett White,2024,"This collection of memoirs contains three distinct yet thematically connected selections focusing on courtesans whose sexual relationships with men of influence and power shaped their understanding of themselves and their experiences as women. The centerpiece, a memoir written by Teresia Constantia Phillips, is a provocative book with a fascinating history. The popularity of her memoir would make Phillips infamous in her time, and it inspired many courtesans and sex workers to write and publish their own memoirs, including the two accompanying pieces. The three selected books explore the lives of women, as written or told by themselves, and represent a group often pushed into the margins of society. Their memoirs showcase how these marginalized women experienced their bodies and sexualities and used the medium of writing to articulate their stories on their own terms.",memoir; history of sex work; courtesans in history; women writers,"London, England; Clerkenwell, England",,,,,,,,compound_object,,public domain,
lwh_801,lwh_801.jpeg,The Promised Justification in Number IV. Volume II. of the Apology,"Phillips, Teresia Constantia",1749,"The Promised Justification in number IV. volume II. of the Apology, was written in 1749 by Teresia Constantia Phillips, to justify her (as regarded at the time) scandalous relationships with various men. The book was written during a precarious time in Phillips’ life, which saw her in a years-long public legal battle with her husband. The memoir was published with the intention of generating controversy and becoming a source of income and independence for Phillips, who was plagued by debt for much of her life. Phillips experienced difficulties in finding publishers and booksellers willing to distribute her book, so she paid to have the books printed in separate volumes, hoping that each new volume would create more controversy and sell more copies than the last. She elected to sell the book from her own home, and all copies were autographed by her to discourage pirating. This somewhat unorthodox method of distribution added several more layers of intimacy and personal connection to the reading experience for her audience.",memoir; history of sex work; courtesans in history; women writers,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/37402674,CT788.P55A3 1749.,,,print,image/jpeg,,public domain,lwh_800
lwh_802,lwh_802.jpeg,The Memoirs of Mrs. Sophia Baddeley: late of Drury Lane Theatre,"Steele, Elizabeth",1787,"The Memoirs of Mrs. Sophia Baddeley tells the story of Sophia Baddley (1745 – 1786), a prominent figure and courtesan in 18th-century British society. Baddeley, a prominent actress, was famous for both her beauty and her vanity. Like Teresia Phillips, her excessively extravagant lifestyle led her to debt, and she resorted to acting as a courtesan to several wealthy, influential men to make ends meet. This book is part of a three-volume series and was written by her companion, Elizabeth Steele (1740 – 1787). Steele’s creative take on life writing satirically sentimentalizes Baddeley’s life, parodying the sentimental novels that were growing in popularity in the late 18th century. In addition to the various men discussed in the memoir, the relationship between Baddeley and Steele, while slightly ambiguous, suggests a lesbian relationship between the two, making this memoir an important artifact for the study of queer literature and history.",memoir; history of sex work; courtesans in history; women writers,"Clerkenwell, England",51.527289477781295,-0.10549456674190738,https://catalog.libraries.psu.edu/catalog/39329359,PN2598.B2S8 1787 v.1/2; PN2598.B2S8 1787 v.3/4; PN2598.B2S8 1787 v.5/6,leather covers; half binding,,print,image/jpeg,,public domain,lwh_800
lwh_803,lwh_803.jpeg,"Memoirs of Harriette Wilson, written by herself","Wilson, Harriette",1839,"Born in London to a prominent family, Harriette Wilson (1786 – 1845) become a renowned courtesan and mistresses to various dukes and viscounts, a career she began at fifteen years of age. Her memoir is known for its incredible attention to detail in recreating conversations that she witnessed in her salon. Wilson’s memoir is an important literary artifact because of the “importance” of the men discussed and the clever observations that Wilson makes about her clientele and situation. Wilson’s memoir is notable in the study of life writing not only because of her stylistic choices, but also because of the various copywrite and civil obscenity lawsuits that Wilson faced after it was published. Like Phillips, Wilson originally published her memoir in installments, hoping to capitalize on her connections and notoriety. Unlike Phillips and Steele’s books, however, Wilson’s volumes have been successfully assembled into one compilation, with important scenes illustrated with engravings.",memoir; history of sex work; courtesans in history; women writers,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/32182997,DA536.W7A3 1839,,,print,image/jpeg,,public domain,lwh_800